"id","hexID","X210","X212","X213","X214","X216","X219","X221","X224","X225","X226","X227","X228","X229","X233","X236","X237","X240","X245","X246","X248","X251","X252","X255","X256","X257","X258","X259","X261","X262","rel_210","rel_212","rel_213","rel_214","rel_216","rel_219","rel_221","rel_224","rel_225","rel_226","rel_227","rel_228","rel_229","rel_233","rel_236","rel_237","rel_240","rel_245","rel_246","rel_248","rel_251","rel_252","rel_255","rel_256","rel_257","rel_258","rel_259","rel_261","rel_262","relMax","absMax","maxLevel","total","antwort"
"ID26","ID26",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,"237",2,"Kurste / Krust / Krüstchen"
"ID27","ID27",27,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.153846153846154,0.0769230769230769,0.0769230769230769,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0.461538461538462,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0.0769230769230769,0.461538461538462,6,"237",13,"Kurste / Krust / Krüstchen"
"ID28","ID28",28,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,19,3,0,0,2,4,0,0,0,0,0,1,1,3,0,0.276595744680851,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0.404255319148936,0.0638297872340425,0,0,0.0425531914893617,0.0851063829787234,0,0,0,0,0,0.0212765957446809,0.0212765957446809,0.0638297872340425,0.404255319148936,19,"237",47,"Kurste / Krust / Krüstchen"
"ID29","ID29",29,1,29,1,0,2,0,2,1,0,0,0,0,0,0,7,58,1,0,0,3,6,0,0,0,0,0,1,2,7,0.00826446280991736,0.239669421487603,0.00826446280991736,0,0.0165289256198347,0,0.0165289256198347,0.00826446280991736,0,0,0,0,0,0,0.0578512396694215,0.479338842975207,0.00826446280991736,0,0,0.0247933884297521,0.0495867768595041,0,0,0,0,0,0.00826446280991736,0.0165289256198347,0.0578512396694215,0.479338842975207,58,"237",121,"Kurste / Krust / Krüstchen"
"ID30","ID30",30,0,21,2,0,3,0,1,1,0,0,0,0,0,0,5,44,1,0,0,2,3,0,0,0,0,1,2,0,5,0,0.230769230769231,0.021978021978022,0,0.032967032967033,0,0.010989010989011,0.010989010989011,0,0,0,0,0,0,0.0549450549450549,0.483516483516484,0.010989010989011,0,0,0.021978021978022,0.032967032967033,0,0,0,0,0.010989010989011,0.021978021978022,0,0.0549450549450549,0.483516483516484,44,"237",91,"Kurste / Krust / Krüstchen"
"ID31","ID31",31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,2,"212",3,"Anschnitt"
"ID32","ID32",32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"233",1,"Scherz / Scherzel / Scherzerl / Scherz(e)l"
"ID33","ID33",33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,"214",2,"Kipf / Kipfel"
"ID34","ID34",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"237",1,"Kurste / Krust / Krüstchen"
"ID35","ID35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
