"id","hexID","X9","X11","X12","X13","X14","X15","X16","rel_9","rel_11","rel_12","rel_13","rel_14","rel_15","rel_16","relMax","absMax","maxLevel","total","antwort"
"ID60","ID60",60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID61","ID61",61,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID62","ID62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID63","ID63",63,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID64","ID64",64,2,0,0,0,2,4,0,0.25,0,0,0,0.25,0.5,0,0.5,4,"15",8,"Znüni"
"ID65","ID65",65,3,0,1,0,0,36,0,0.075,0,0.025,0,0,0.9,0,0.9,36,"15",40,"Znüni"
"ID66","ID66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID67","ID67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID68","ID68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID69","ID69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID70","ID70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID71","ID71",71,6,0,0,23,0,0,0,0.206896551724138,0,0,0.793103448275862,0,0,0,0.793103448275862,23,"13",29,"Jause"
"ID72","ID72",72,15,4,1,24,1,0,1,0.326086956521739,0.0869565217391304,0.0217391304347826,0.521739130434783,0.0217391304347826,0,0.0217391304347826,0.521739130434783,24,"13",46,"Jause"
"ID73","ID73",73,3,4,1,16,0,0,0,0.125,0.166666666666667,0.0416666666666667,0.666666666666667,0,0,0,0.666666666666667,16,"13",24,"Jause"
"ID74","ID74",74,2,2,0,3,0,0,0,0.285714285714286,0.285714285714286,0,0.428571428571429,0,0,0,0.428571428571429,3,"13",7,"Jause"
"ID75","ID75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID76","ID76",76,1,0,0,0,0,2,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0.666666666666667,2,"15",3,"Znüni"
"ID77","ID77",77,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"9",1,"Frühstückspause / Pause / Kaffeepause"
"ID78","ID78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID79","ID79",79,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,5,"15",5,"Znüni"
"ID80","ID80",80,0,1,0,0,0,4,0,0,0.2,0,0,0,0.8,0,0.8,4,"15",5,"Znüni"
"ID81","ID81",81,0,0,0,0,0,21,0,0,0,0,0,0,1,0,1,21,"15",21,"Znüni"
"ID82","ID82",82,1,0,0,0,0,14,1,0.0625,0,0,0,0,0.875,0.0625,0.875,14,"15",16,"Znüni"
"ID83","ID83",83,2,0,0,0,0,108,0,0.0181818181818182,0,0,0,0,0.981818181818182,0,0.981818181818182,108,"15",110,"Znüni"
"ID84","ID84",84,10,1,1,0,1,85,0,0.102040816326531,0.0102040816326531,0.0102040816326531,0,0.0102040816326531,0.86734693877551,0,0.86734693877551,85,"15",98,"Znüni"
"ID85","ID85",85,4,0,0,0,1,20,0,0.16,0,0,0,0.04,0.8,0,0.8,20,"15",25,"Znüni"
"ID86","ID86",86,0,2,0,0,0,14,0,0,0.125,0,0,0,0.875,0,0.875,14,"15",16,"Znüni"
"ID87","ID87",87,0,1,0,0,1,3,0,0,0.2,0,0,0.2,0.6,0,0.6,3,"15",5,"Znüni"
"ID88","ID88",88,0,1,1,0,0,6,0,0,0.125,0.125,0,0,0.75,0,0.75,6,"15",8,"Znüni"
"ID89","ID89",89,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,6,"15",6,"Znüni"
"ID90","ID90",90,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,"15",2,"Znüni"
"ID91","ID91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID92","ID92",92,2,0,0,0,1,4,0,0.285714285714286,0,0,0,0.142857142857143,0.571428571428571,0,0.571428571428571,4,"15",7,"Znüni"
"ID93","ID93",93,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,"15",2,"Znüni"
"ID94","ID94",94,2,0,0,1,0,15,1,0.105263157894737,0,0,0.0526315789473684,0,0.789473684210526,0.0526315789473684,0.789473684210526,15,"15",19,"Znüni"
"ID95","ID95",95,1,1,0,0,0,14,0,0.0625,0.0625,0,0,0,0.875,0,0.875,14,"15",16,"Znüni"
"ID96","ID96",96,2,0,0,0,0,16,0,0.111111111111111,0,0,0,0,0.888888888888889,0,0.888888888888889,16,"15",18,"Znüni"
"ID97","ID97",97,3,0,0,1,2,11,0,0.176470588235294,0,0,0.0588235294117647,0.117647058823529,0.647058823529412,0,0.647058823529412,11,"15",17,"Znüni"
"ID98","ID98",98,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,"15",2,"Znüni"
"ID99","ID99",99,1,1,0,0,0,2,0,0.25,0.25,0,0,0,0.5,0,0.5,2,"15",4,"Znüni"
"ID100","ID100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID101","ID101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID102","ID102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID103","ID103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID104","ID104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID105","ID105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID106","ID106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID107","ID107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID108","ID108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID109","ID109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID110","ID110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID111","ID111",111,3,3,0,8,0,0,1,0.2,0.2,0,0.533333333333333,0,0,0.0666666666666667,0.533333333333333,8,"13",15,"Jause"
"ID112","ID112",112,1,1,0,20,0,0,0,0.0454545454545455,0.0454545454545455,0,0.909090909090909,0,0,0,0.909090909090909,20,"13",22,"Jause"
"ID113","ID113",113,7,6,0,18,0,0,0,0.225806451612903,0.193548387096774,0,0.580645161290323,0,0,0,0.580645161290323,18,"13",31,"Jause"
"ID114","ID114",114,15,6,2,32,2,0,0,0.263157894736842,0.105263157894737,0.0350877192982456,0.56140350877193,0.0350877192982456,0,0,0.56140350877193,32,"13",57,"Jause"
"ID115","ID115",115,17,3,4,48,0,1,0,0.232876712328767,0.0410958904109589,0.0547945205479452,0.657534246575342,0,0.0136986301369863,0,0.657534246575342,48,"13",73,"Jause"
"ID116","ID116",116,121,71,3,373,2,1,0,0.211908931698774,0.124343257443082,0.00525394045534151,0.653239929947461,0.00350262697022767,0.00175131348511384,0,0.653239929947461,373,"13",571,"Jause"
"ID117","ID117",117,51,33,4,178,1,1,0,0.190298507462687,0.123134328358209,0.0149253731343284,0.664179104477612,0.00373134328358209,0.00373134328358209,0,0.664179104477612,178,"13",268,"Jause"
"ID118","ID118",118,26,14,0,106,0,0,0,0.178082191780822,0.0958904109589041,0,0.726027397260274,0,0,0,0.726027397260274,106,"13",146,"Jause"
"ID119","ID119",119,171,102,7,589,1,1,1,0.196100917431193,0.11697247706422,0.00802752293577982,0.67545871559633,0.00114678899082569,0.00114678899082569,0.00114678899082569,0.67545871559633,589,"13",872,"Jause"
"ID120","ID120",120,25,12,1,60,0,0,0,0.255102040816327,0.122448979591837,0.0102040816326531,0.612244897959184,0,0,0,0.612244897959184,60,"13",98,"Jause"
"ID121","ID121",121,15,19,0,91,0,0,0,0.12,0.152,0,0.728,0,0,0,0.728,91,"13",125,"Jause"
"ID122","ID122",122,8,2,1,20,0,0,0,0.258064516129032,0.0645161290322581,0.032258064516129,0.645161290322581,0,0,0,0.645161290322581,20,"13",31,"Jause"
"ID123","ID123",123,1,1,0,4,0,0,0,0.166666666666667,0.166666666666667,0,0.666666666666667,0,0,0,0.666666666666667,4,"13",6,"Jause"
"ID124","ID124",124,1,0,0,0,0,2,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0.666666666666667,2,"15",3,"Znüni"
"ID125","ID125",125,0,1,0,0,0,1,0,0,0.5,0,0,0,0.5,0,0.5,1,"11",2,"(zweites) Frühstück"
"ID126","ID126",126,1,0,0,0,0,1,0,0.5,0,0,0,0,0.5,0,0.5,1,"9",2,"Frühstückspause / Pause / Kaffeepause"
"ID127","ID127",127,0,1,0,1,0,21,0,0,0.0434782608695652,0,0.0434782608695652,0,0.91304347826087,0,0.91304347826087,21,"15",23,"Znüni"
"ID128","ID128",128,6,0,0,1,1,111,0,0.0504201680672269,0,0,0.00840336134453781,0.00840336134453781,0.932773109243697,0,0.932773109243697,111,"15",119,"Znüni"
"ID129","ID129",129,1,1,0,1,0,68,0,0.0140845070422535,0.0140845070422535,0,0.0140845070422535,0,0.957746478873239,0,0.957746478873239,68,"15",71,"Znüni"
"ID130","ID130",130,8,0,1,0,0,501,0,0.0156862745098039,0,0.00196078431372549,0,0,0.982352941176471,0,0.982352941176471,501,"15",510,"Znüni"
"ID131","ID131",131,2,0,0,0,0,110,0,0.0178571428571429,0,0,0,0,0.982142857142857,0,0.982142857142857,110,"15",112,"Znüni"
"ID132","ID132",132,1,0,0,0,0,50,1,0.0192307692307692,0,0,0,0,0.961538461538462,0.0192307692307692,0.961538461538462,50,"15",52,"Znüni"
"ID133","ID133",133,2,0,0,0,1,39,0,0.0476190476190476,0,0,0,0.0238095238095238,0.928571428571429,0,0.928571428571429,39,"15",42,"Znüni"
"ID134","ID134",134,2,0,0,0,0,29,1,0.0625,0,0,0,0,0.90625,0.03125,0.90625,29,"15",32,"Znüni"
"ID135","ID135",135,2,0,0,0,0,11,0,0.153846153846154,0,0,0,0,0.846153846153846,0,0.846153846153846,11,"15",13,"Znüni"
"ID136","ID136",136,0,0,0,1,0,12,0,0,0,0,0.0769230769230769,0,0.923076923076923,0,0.923076923076923,12,"15",13,"Znüni"
"ID137","ID137",137,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,8,"15",8,"Znüni"
"ID138","ID138",138,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,8,"15",8,"Znüni"
"ID139","ID139",139,2,0,0,0,0,13,0,0.133333333333333,0,0,0,0,0.866666666666667,0,0.866666666666667,13,"15",15,"Znüni"
"ID140","ID140",140,2,1,0,0,1,17,0,0.0952380952380952,0.0476190476190476,0,0,0.0476190476190476,0.80952380952381,0,0.80952380952381,17,"15",21,"Znüni"
"ID141","ID141",141,3,1,0,0,0,51,0,0.0545454545454545,0.0181818181818182,0,0,0,0.927272727272727,0,0.927272727272727,51,"15",55,"Znüni"
