"id","hexID","X1","X2","X3","X4","X5","X6","X7","X8","rel_1","rel_2","rel_3","rel_4","rel_5","rel_6","rel_7","rel_8","relMax","absMax","maxLevel","total","antwort"
"ID68","ID68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID69","ID69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID70","ID70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID71","ID71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID72","ID72",72,1,17,1,25,0,0,0,0,0.0227272727272727,0.386363636363636,0.0227272727272727,0.568181818181818,0,0,0,0,0.568181818181818,25,"4",44,"kicken"
"ID73","ID73",73,2,9,0,15,1,0,0,0,0.0740740740740741,0.333333333333333,0,0.555555555555556,0.037037037037037,0,0,0,0.555555555555556,15,"4",27,"kicken"
"ID74","ID74",74,1,13,0,14,0,0,0,0,0.0357142857142857,0.464285714285714,0,0.5,0,0,0,0,0.5,14,"4",28,"kicken"
"ID75","ID75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID76","ID76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID77","ID77",77,1,0,0,0,2,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0.666666666666667,2,"5",3,"tschutten"
"ID78","ID78",78,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"4",1,"kicken"
"ID79","ID79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID80","ID80",80,0,1,0,0,2,1,0,0,0,0.25,0,0,0.5,0.25,0,0,0.5,2,"5",4,"tschutten"
"ID81","ID81",81,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,3,"6",3,"schutten"
"ID82","ID82",82,0,0,0,0,3,18,0,0,0,0,0,0,0.142857142857143,0.857142857142857,0,0,0.857142857142857,18,"6",21,"schutten"
"ID83","ID83",83,0,0,0,0,2,15,1,0,0,0,0,0,0.111111111111111,0.833333333333333,0.0555555555555556,0,0.833333333333333,15,"6",18,"schutten"
"ID84","ID84",84,1,0,0,0,14,92,0,0,0.00934579439252336,0,0,0,0.130841121495327,0.85981308411215,0,0,0.85981308411215,92,"6",107,"schutten"
"ID85","ID85",85,2,2,0,1,17,79,0,1,0.0196078431372549,0.0196078431372549,0,0.00980392156862745,0.166666666666667,0.774509803921569,0,0.00980392156862745,0.774509803921569,79,"6",102,"schutten"
"ID86","ID86",86,1,1,0,0,4,9,0,0,0.0666666666666667,0.0666666666666667,0,0,0.266666666666667,0.6,0,0,0.6,9,"6",15,"schutten"
"ID87","ID87",87,0,3,0,1,7,5,0,0,0,0.1875,0,0.0625,0.4375,0.3125,0,0,0.4375,7,"5",16,"tschutten"
"ID88","ID88",88,2,0,0,0,1,1,1,0,0.4,0,0,0,0.2,0.2,0.2,0,0.4,2,"1",5,"bolzen"
"ID89","ID89",89,1,0,0,0,9,0,0,0,0.1,0,0,0,0.9,0,0,0,0.9,9,"5",10,"tschutten"
"ID90","ID90",90,1,0,0,0,5,1,0,0,0.142857142857143,0,0,0,0.714285714285714,0.142857142857143,0,0,0.714285714285714,5,"5",7,"tschutten"
"ID91","ID91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID92","ID92",92,1,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,1,"1",2,"bolzen"
"ID93","ID93",93,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,6,"5",6,"tschutten"
"ID94","ID94",94,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,4,"5",4,"tschutten"
"ID95","ID95",95,1,1,0,0,8,0,0,1,0.0909090909090909,0.0909090909090909,0,0,0.727272727272727,0,0,0.0909090909090909,0.727272727272727,8,"5",11,"tschutten"
"ID96","ID96",96,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,1,15,"5",15,"tschutten"
"ID97","ID97",97,0,4,0,1,14,0,0,0,0,0.210526315789474,0,0.0526315789473684,0.736842105263158,0,0,0,0.736842105263158,14,"5",19,"tschutten"
"ID98","ID98",98,0,1,1,1,9,0,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.75,0,0,0,0.75,9,"5",12,"tschutten"
"ID99","ID99",99,0,1,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,1,"2",2,"Fussball spielen"
"ID100","ID100",100,0,1,1,1,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,1,"2",3,"Fussball spielen"
"ID101","ID101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID102","ID102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID103","ID103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID104","ID104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID105","ID105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID106","ID106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID107","ID107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID108","ID108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID109","ID109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID110","ID110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID111","ID111",111,1,12,1,2,0,0,0,0,0.0625,0.75,0.0625,0.125,0,0,0,0,0.75,12,"2",16,"Fussball spielen"
"ID112","ID112",112,0,15,3,9,0,0,0,0,0,0.555555555555556,0.111111111111111,0.333333333333333,0,0,0,0,0.555555555555556,15,"2",27,"Fussball spielen"
"ID113","ID113",113,1,33,4,21,1,0,0,0,0.0166666666666667,0.55,0.0666666666666667,0.35,0.0166666666666667,0,0,0,0.55,33,"2",60,"Fussball spielen"
"ID114","ID114",114,1,15,1,7,0,0,0,0,0.0416666666666667,0.625,0.0416666666666667,0.291666666666667,0,0,0,0,0.625,15,"2",24,"Fussball spielen"
"ID115","ID115",115,11,33,3,46,1,0,0,1,0.115789473684211,0.347368421052632,0.0315789473684211,0.484210526315789,0.0105263157894737,0,0,0.0105263157894737,0.484210526315789,46,"4",95,"kicken"
"ID116","ID116",116,34,286,18,340,1,2,0,3,0.0497076023391813,0.41812865497076,0.0263157894736842,0.497076023391813,0.00146198830409357,0.00292397660818713,0,0.0043859649122807,0.497076023391813,340,"4",684,"kicken"
"ID117","ID117",117,9,73,1,82,0,0,0,1,0.0542168674698795,0.439759036144578,0.00602409638554217,0.493975903614458,0,0,0,0.00602409638554217,0.493975903614458,82,"4",166,"kicken"
"ID118","ID118",118,3,48,3,66,0,0,0,1,0.0247933884297521,0.396694214876033,0.0247933884297521,0.545454545454545,0,0,0,0.00826446280991736,0.545454545454545,66,"4",121,"kicken"
"ID119","ID119",119,21,346,13,503,1,0,0,5,0.0236220472440945,0.389201349831271,0.0146231721034871,0.565804274465692,0.00112485939257593,0,0,0.00562429696287964,0.565804274465692,503,"4",889,"kicken"
"ID120","ID120",120,1,21,1,27,0,0,0,0,0.02,0.42,0.02,0.54,0,0,0,0,0.54,27,"4",50,"kicken"
"ID121","ID121",121,2,41,1,72,1,0,0,0,0.0170940170940171,0.35042735042735,0.00854700854700855,0.615384615384615,0.00854700854700855,0,0,0,0.615384615384615,72,"4",117,"kicken"
"ID122","ID122",122,1,11,1,21,0,0,0,0,0.0294117647058824,0.323529411764706,0.0294117647058824,0.617647058823529,0,0,0,0,0.617647058823529,21,"4",34,"kicken"
"ID123","ID123",123,0,3,0,3,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,3,"2",6,"Fussball spielen"
"ID124","ID124",124,0,3,0,14,0,0,0,0,0,0.176470588235294,0,0.823529411764706,0,0,0,0,0.823529411764706,14,"4",17,"kicken"
"ID125","ID125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID126","ID126",126,0,0,1,1,0,1,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,1,"3",3,"fussballen"
"ID127","ID127",127,0,1,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,1,"2",2,"Fussball spielen"
"ID128","ID128",128,0,0,0,1,0,4,0,0,0,0,0,0.2,0,0.8,0,0,0.8,4,"6",5,"schutten"
"ID129","ID129",129,1,5,1,1,8,33,0,1,0.02,0.1,0.02,0.02,0.16,0.66,0,0.02,0.66,33,"6",50,"schutten"
"ID130","ID130",130,2,1,0,3,15,77,0,0,0.0204081632653061,0.0102040816326531,0,0.0306122448979592,0.153061224489796,0.785714285714286,0,0,0.785714285714286,77,"6",98,"schutten"
"ID131","ID131",131,0,1,0,0,7,54,0,0,0,0.0161290322580645,0,0,0.112903225806452,0.870967741935484,0,0,0.870967741935484,54,"6",62,"schutten"
"ID132","ID132",132,1,1,0,1,45,473,0,0,0.00191938579654511,0.00191938579654511,0,0.00191938579654511,0.0863723608445297,0.907869481765835,0,0,0.907869481765835,473,"6",521,"schutten"
"ID133","ID133",133,0,1,1,1,14,55,0,0,0,0.0138888888888889,0.0138888888888889,0.0138888888888889,0.194444444444444,0.763888888888889,0,0,0.763888888888889,55,"6",72,"schutten"
"ID134","ID134",134,0,0,0,0,10,27,1,0,0,0,0,0,0.263157894736842,0.710526315789474,0.0263157894736842,0,0.710526315789474,27,"6",38,"schutten"
"ID135","ID135",135,0,0,0,1,20,23,0,0,0,0,0,0.0227272727272727,0.454545454545455,0.522727272727273,0,0,0.522727272727273,23,"6",44,"schutten"
"ID136","ID136",136,1,0,0,1,11,7,0,0,0.05,0,0,0.05,0.55,0.35,0,0,0.55,11,"5",20,"tschutten"
"ID137","ID137",137,0,0,0,0,12,2,0,0,0,0,0,0,0.857142857142857,0.142857142857143,0,0,0.857142857142857,12,"5",14,"tschutten"
"ID138","ID138",138,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,1,14,"5",14,"tschutten"
"ID139","ID139",139,0,0,0,0,5,1,0,0,0,0,0,0,0.833333333333333,0.166666666666667,0,0,0.833333333333333,5,"5",6,"tschutten"
"ID140","ID140",140,0,1,0,0,5,0,0,0,0,0.166666666666667,0,0,0.833333333333333,0,0,0,0.833333333333333,5,"5",6,"tschutten"
"ID141","ID141",141,1,1,0,0,12,1,0,0,0.0666666666666667,0.0666666666666667,0,0,0.8,0.0666666666666667,0,0,0.8,12,"5",15,"tschutten"
"ID142","ID142",142,0,2,0,1,19,0,0,0,0,0.0909090909090909,0,0.0454545454545455,0.863636363636364,0,0,0,0.863636363636364,19,"5",22,"tschutten"
"ID143","ID143",143,0,1,0,0,71,1,0,0,0,0.0136986301369863,0,0,0.972602739726027,0.0136986301369863,0,0,0.972602739726027,71,"5",73,"tschutten"
"ID144","ID144",144,0,6,0,0,51,0,0,0,0,0.105263157894737,0,0,0.894736842105263,0,0,0,0.894736842105263,51,"5",57,"tschutten"
"ID145","ID145",145,0,0,0,1,41,0,0,0,0,0,0,0.0238095238095238,0.976190476190476,0,0,0,0.976190476190476,41,"5",42,"tschutten"
"ID146","ID146",146,0,2,0,3,16,0,0,0,0,0.0952380952380952,0,0.142857142857143,0.761904761904762,0,0,0,0.761904761904762,16,"5",21,"tschutten"
"ID147","ID147",147,0,1,0,0,1,1,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,1,"2",3,"Fussball spielen"
"ID148","ID148",148,1,1,0,0,9,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0.818181818181818,0,0,0,0.818181818181818,9,"5",11,"tschutten"
"ID149","ID149",149,1,3,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0.75,3,"2",4,"Fussball spielen"
"ID150","ID150",150,0,3,0,1,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0.75,3,"2",4,"Fussball spielen"
"ID151","ID151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID152","ID152",152,1,3,0,1,0,0,0,0,0.2,0.6,0,0.2,0,0,0,0,0.6,3,"2",5,"Fussball spielen"
"ID153","ID153",153,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,1,"2",2,"Fussball spielen"
"ID154","ID154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID155","ID155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID156","ID156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID157","ID157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID158","ID158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID159","ID159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID160","ID160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID161","ID161",161,0,30,1,10,0,0,0,0,0,0.731707317073171,0.024390243902439,0.24390243902439,0,0,0,0,0.731707317073171,30,"2",41,"Fussball spielen"
"ID162","ID162",162,2,22,2,12,0,0,0,1,0.0512820512820513,0.564102564102564,0.0512820512820513,0.307692307692308,0,0,0,0.0256410256410256,0.564102564102564,22,"2",39,"Fussball spielen"
"ID163","ID163",163,9,111,12,71,1,1,0,3,0.0432692307692308,0.533653846153846,0.0576923076923077,0.341346153846154,0.00480769230769231,0.00480769230769231,0,0.0144230769230769,0.533653846153846,111,"2",208,"Fussball spielen"
"ID164","ID164",164,1,10,1,14,0,0,0,0,0.0384615384615385,0.384615384615385,0.0384615384615385,0.538461538461538,0,0,0,0,0.538461538461538,14,"4",26,"kicken"
"ID165","ID165",165,2,13,0,14,0,0,0,0,0.0689655172413793,0.448275862068966,0,0.482758620689655,0,0,0,0,0.482758620689655,14,"4",29,"kicken"
"ID166","ID166",166,1,17,2,25,0,0,0,2,0.0212765957446809,0.361702127659574,0.0425531914893617,0.531914893617021,0,0,0,0.0425531914893617,0.531914893617021,25,"4",47,"kicken"
"ID167","ID167",167,4,37,4,56,1,0,0,0,0.0392156862745098,0.362745098039216,0.0392156862745098,0.549019607843137,0.00980392156862745,0,0,0,0.549019607843137,56,"4",102,"kicken"
"ID168","ID168",168,5,128,6,118,1,0,0,0,0.0193798449612403,0.496124031007752,0.0232558139534884,0.457364341085271,0.00387596899224806,0,0,0,0.496124031007752,128,"2",258,"Fussball spielen"
"ID169","ID169",169,1,37,2,44,0,0,0,0,0.0119047619047619,0.44047619047619,0.0238095238095238,0.523809523809524,0,0,0,0,0.523809523809524,44,"4",84,"kicken"
"ID170","ID170",170,0,18,2,25,2,0,0,0,0,0.382978723404255,0.0425531914893617,0.531914893617021,0.0425531914893617,0,0,0,0.531914893617021,25,"4",47,"kicken"
"ID171","ID171",171,4,60,5,62,0,0,0,1,0.0303030303030303,0.454545454545455,0.0378787878787879,0.46969696969697,0,0,0,0.00757575757575758,0.46969696969697,62,"4",132,"kicken"
"ID172","ID172",172,0,31,1,30,1,0,0,0,0,0.492063492063492,0.0158730158730159,0.476190476190476,0.0158730158730159,0,0,0,0.492063492063492,31,"2",63,"Fussball spielen"
"ID173","ID173",173,6,63,2,93,1,0,0,1,0.036144578313253,0.379518072289157,0.0120481927710843,0.560240963855422,0.00602409638554217,0,0,0.00602409638554217,0.560240963855422,93,"4",166,"kicken"
"ID174","ID174",174,0,8,1,24,1,0,0,0,0,0.235294117647059,0.0294117647058824,0.705882352941177,0.0294117647058824,0,0,0,0.705882352941177,24,"4",34,"kicken"
"ID175","ID175",175,1,10,1,28,0,0,0,0,0.025,0.25,0.025,0.7,0,0,0,0,0.7,28,"4",40,"kicken"
"ID176","ID176",176,6,32,2,73,1,0,0,1,0.0521739130434783,0.278260869565217,0.0173913043478261,0.634782608695652,0.00869565217391304,0,0,0.00869565217391304,0.634782608695652,73,"4",115,"kicken"
"ID177","ID177",177,0,4,0,12,0,0,0,1,0,0.235294117647059,0,0.705882352941177,0,0,0,0.0588235294117647,0.705882352941177,12,"4",17,"kicken"
