"id","hexID","X152","X153","X154","X155","X156","X157","rel_152","rel_153","rel_154","rel_155","rel_156","rel_157","relMax","absMax","maxLevel","total","antwort"
"ID85","ID85",85,7,0,0,1,0,1,0.777777777777778,0,0,0.111111111111111,0,0.111111111111111,0.777777777777778,7,"152",9,"Portemonnaie/Portmonee"
"ID86","ID86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID87","ID87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID88","ID88",88,2,1,0,0,0,3,0.333333333333333,0.166666666666667,0,0,0,0.5,0.5,3,"157",6,"Geldsack/Geldsäckel"
"ID89","ID89",89,2,0,0,0,0,1,0.666666666666667,0,0,0,0,0.333333333333333,0.666666666666667,2,"152",3,"Portemonnaie/Portmonee"
"ID90","ID90",90,7,1,0,0,0,0,0.875,0.125,0,0,0,0,0.875,7,"152",8,"Portemonnaie/Portmonee"
"ID91","ID91",91,10,1,0,0,1,0,0.833333333333333,0.0833333333333333,0,0,0.0833333333333333,0,0.833333333333333,10,"152",12,"Portemonnaie/Portmonee"
"ID92","ID92",92,23,1,2,0,0,0,0.884615384615385,0.0384615384615385,0.0769230769230769,0,0,0,0.884615384615385,23,"152",26,"Portemonnaie/Portmonee"
"ID93","ID93",93,10,0,0,0,1,1,0.833333333333333,0,0,0,0.0833333333333333,0.0833333333333333,0.833333333333333,10,"152",12,"Portemonnaie/Portmonee"
"ID94","ID94",94,2,0,1,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0.666666666666667,2,"152",3,"Portemonnaie/Portmonee"
"ID95","ID95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID96","ID96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID97","ID97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID98","ID98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID99","ID99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID100","ID100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID101","ID101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID102","ID102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID103","ID103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID104","ID104",104,2,0,2,0,12,0,0.125,0,0.125,0,0.75,0,0.75,12,"156",16,"Brieftasche/Briaftoschn"
"ID105","ID105",105,0,0,1,1,12,0,0,0,0.0714285714285714,0.0714285714285714,0.857142857142857,0,0.857142857142857,12,"156",14,"Brieftasche/Briaftoschn"
"ID106","ID106",106,0,1,2,1,14,0,0,0.0555555555555556,0.111111111111111,0.0555555555555556,0.777777777777778,0,0.777777777777778,14,"156",18,"Brieftasche/Briaftoschn"
"ID107","ID107",107,1,2,9,4,64,0,0.0125,0.025,0.1125,0.05,0.8,0,0.8,64,"156",80,"Brieftasche/Briaftoschn"
"ID108","ID108",108,10,6,108,21,510,0,0.0152671755725191,0.00916030534351145,0.164885496183206,0.0320610687022901,0.778625954198473,0,0.778625954198473,510,"156",655,"Brieftasche/Briaftoschn"
"ID109","ID109",109,3,0,24,5,126,0,0.0189873417721519,0,0.151898734177215,0.0316455696202532,0.79746835443038,0,0.79746835443038,126,"156",158,"Brieftasche/Briaftoschn"
"ID110","ID110",110,3,1,15,1,103,0,0.024390243902439,0.00813008130081301,0.121951219512195,0.00813008130081301,0.83739837398374,0,0.83739837398374,103,"156",123,"Brieftasche/Briaftoschn"
